ICM_ID,max_annual_stage,ave_annual_stage,ave_stage_summer,var_stage_summer,ave_annual_salinity,ave_salinity_summer,sal_2wk_max,ave_tmp,ave_tmp_summer,openwater_sed_accum,marsh_int_sed_accum,marsh_edge_sed_accum,tidal_prism_ave,ave_sepmar_stage,ave_octapr_stage,marsh_edge_erosion_rate,ave_annual_tss,stdev_annual_tss,totalland_m2
693.0000,0.2453,0.1202,0.1702,0.0018,0.2928,0.2278,0.7350,18.2791,26.0182,11912.9473,0.0000,0.0000,4847969.0000,0.0774,0.0663,0.0000,100.3329,44.2237,0.0000
694.0000,0.1761,0.0802,0.1286,0.0006,16.4216,13.8458,25.0902,20.4288,22.8493,9.7501,0.0000,0.0000,70973368.0000,0.0422,0.0389,0.0000,13.1833,10.4498,0.0000
695.0000,0.2232,0.1084,0.1600,0.0012,0.4657,0.3785,2.4874,18.1317,25.7481,56366.3516,84.0929,179.9572,3181134.2500,0.0659,0.0572,3.1532,112.8530,50.9827,1374965.5000
696.0000,0.2137,0.1079,0.1606,0.0006,2.6953,1.4989,8.4209,19.6090,25.3729,4969.7710,0.0000,0.0000,10843179.0000,0.0668,0.0550,0.0000,58.8335,26.9149,0.0000
697.0000,0.2242,0.1175,0.1718,0.0005,3.7143,1.2475,9.0740,20.7028,25.9043,2193.8220,0.0000,0.0000,718886.2500,0.0759,0.0603,0.0000,28.4523,12.1054,7867293.5000
698.0000,0.2335,0.1153,0.1658,0.0014,0.2684,0.2577,0.8672,18.0755,25.8701,31192.2285,393778.3438,177.2946,2428832.5000,0.0731,0.0626,0.0000,119.4623,47.8176,135870.5000
699.0000,0.2402,0.1165,0.1656,0.0017,0.3311,0.2572,1.3562,18.3533,25.9951,59.7067,0.0000,0.0001,5352367.5000,0.0744,0.0642,4.4023,83.7199,31.8736,978473.0000
700.0000,0.1964,0.0879,0.1354,0.0009,2.5065,1.5510,7.9369,19.2294,25.3486,32.1850,141.0912,246.3901,8535042.0000,0.0487,0.0452,4.9264,57.2517,25.5557,13637794.0000
701.0000,0.2405,0.1169,0.1662,0.0017,0.2945,0.2357,1.1148,18.3561,25.9677,808.9990,0.0000,0.0000,7304483.5000,0.0746,0.0643,0.0000,91.3915,41.0076,0.0000
702.0000,0.2236,0.1098,0.1609,0.0012,0.3573,0.3247,1.5383,18.1352,25.7302,46647.9102,0.0000,0.0000,2237529.5000,0.0678,0.0583,0.0000,110.4586,48.0238,0.0000
